"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2019",6.84,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2020",6.53,
"NOR","AIREMISSION","CO2","TONNE_CAP","A","2021",7.32,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2007",8.04,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2008",7.91,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2009",7.57,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2010",7.98,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2011",7.87,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2012",7.71,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2013",7.6,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2014",7.26,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2015",7.35,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2016",7.63,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2017",7.96,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2018",7.92,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2019",7.48,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2020",7.08,
"POL","AIREMISSION","CO2","TONNE_CAP","A","2021",7.72,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2007",5.18,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2008",5,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2009",5.02,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2010",4.5,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2011",4.46,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2012",4.34,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2013",4.18,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2014",4.12,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2015",4.53,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2016",4.49,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2017",4.93,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2018",4.59,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2019",4.12,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2020",3.56,
"PRT","AIREMISSION","CO2","TONNE_CAP","A","2021",3.34,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2007",6.62,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2008",6.57,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2009",6.04,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2010",6.37,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2011",6.09,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2012",5.78,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2013",5.87,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2014",5.38,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2015",5.43,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2016",5.55,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2017",5.92,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2018",5.81,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2019",5.43,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2020",5.05,
"SVK","AIREMISSION","CO2","TONNE_CAP","A","2021",5.7,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2007",7.47,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2008",6.74,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2009",5.97,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2010",5.65,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2011",5.69,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2012",5.59,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2013",5.07,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2014",5.02,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2015",5.34,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2016",5.14,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2017",5.49,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2018",5.32,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2019",4.94,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2020",4.11,
"ESP","AIREMISSION","CO2","TONNE_CAP","A","2021",4.45,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2007",5,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2008",4.84,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2009",4.46,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2010",4.98,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2011",4.56,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2012",4.26,
"SWE","AIREMISSION","CO2","TONNE_CAP","A","2013",4.06,
